NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Atlantic cod,Gadus morhua,2012,                   0.00,POUND,,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                  75.19,POUND,.8876,
Atlantic mackerel,Scomber scombrus,2012,                   4.12,POUND,.4,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2012,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2012,                   0.00,POUND,,
Goosefish,Lophius americanus,2012,                   0.00,POUND,,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,                   0.00,POUND,,h
Northern shortfin squid,Illex illecebrosus,2012,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2012,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2012,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2012,                   0.00,POUND,,
Pollock,Pollachius virens,2012,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,                   0.00,POUND,,k
Scup,Stenotomus chrysops,2012,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2012,                   0.00,POUND,,l
Silver hake,Merluccius bilinearis,2012,                   0.00,POUND,,m
Skate Complex,Rajidae,2012,                   0.00,POUND,,n
Spiny dogfish,Squalus acanthias,2012,"              13,015.01",POUND,.4462,
Summer flounder,Paralichthys dentatus,2012,                   0.00,POUND,,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2012,                   0.00,POUND,,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,                   0.00,POUND,,r
Witch flounder,Glyptocephalus cynoglossus,2012,                   0.00,POUND,,
Yellowtail flounder,Limanda ferruginea,2012,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"              13,094.32",POUND,,
TOTAL FISHERY LANDINGS,,,"          18,979,413.00",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          18,992,507.32",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,<0.01,,,
Mid-Atlantic Small-Mesh Otter Trawl,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                 370.45,POUND,1.5266,a
American plaice,Hippoglossoides platessoides,2012,                  31.45,POUND,1.8266,
Atlantic cod,Gadus morhua,2012,"               1,734.29",POUND,.7173,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,"              15,540.64",POUND,1.3468,
Atlantic mackerel,Scomber scombrus,2012,"               2,060.34",POUND,.9428,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,"              74,271.46",POUND,.5909,
Bluefish,Pomatomus saltatrix,2012,"              29,582.55",POUND,.5301,
Butterfish,Peprilus triacanthus,2012,"           1,677,329.94",POUND,.4461,
Goosefish,Lophius americanus,2012,"             106,335.32",POUND,.4872,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                 307.30,POUND,.6394,g
Longfin inshore squid,Loligo pealeii,2012,"             373,140.58",POUND,.3546,h
